country,country_code,world_bank_region,income_group,gdp_per_capita_usd_2010,gdp_per_capita_usd_2011,population_2010,population_2011
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,4058.53937000739,5143.61929334647,5564356.0,5683417.0
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,23093.8498268267,27327.4006354146,29739.0,30846.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,3054.96154183353,3679.5325726267,10614.0,10780.0
Türkiye,TUR,Europe & Central Asia,Upper middle income,10698.9699409757,11373.6355760885,73142150.0,74223629.0
Uganda,UGA,Sub-Saharan Africa,Low income,823.488144282,835.620060555838,32390802.0,33354543.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,3039.63232421875,3656.69799804688,46456003.0,46307853.0
United Arab Emirates,ARE,Middle East & North Africa,High income,44795.2846234991,51921.8890746408,6869838.0,7104538.0
United Kingdom,GBR,Europe & Central Asia,High income,39778.3220528565,42295.9273835322,62766365.0,63258810.0
United States,USA,North America,High income,48642.6312088213,50024.8812320773,309378227.0,311839461.0
Uruguay,URY,Latin America & Caribbean,High income,12641.0576849008,15132.2675725587,3318580.0,3326825.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1956.78127255673,2338.55462817306,28385506.0,28823196.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2815.18828985779,3163.1861645138,238248.0,243474.0
"Venezuela, RB",VEN,Latin America & Caribbean,Lower middle income,13646.3046622664,10843.9229703167,28813101.0,29185212.0
Viet Nam,VNM,East Asia & Pacific,Upper middle income,1683.16182443979,1950.92504174913,87455152.0,88468314.0
Virgin Islands (US),VIR,Latin America & Caribbean,High income,39905.1284180994,38997.1373164651,108357.0,108290.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2557.07562356699,2880.79843707909,3786161.0,3882986.0
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,1155.20305261418,1186.47500581215,26754387.0,27582897.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1451.10616017155,1624.86817763443,13965594.0,14437796.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,902.010759067388,1037.77565157218,13356548.0,13595424.0
